new level sizes:282
0, 79
1, 0
2, 0
3, 0
4, 79
5, 0
6, 10
7, 79
8, 79
9, 0
10, 79
11, 79
12, 79
13, 0
14, 79
15, 79
16, 89
17, 90
18, 100
19, 100
20, 110
21, 110
22, 120
23, 120
24, 130
25, 130
26, 140
27, 140
28, 150
29, 150
30, 160
31, 160
32, 170
33, 170
34, 180
35, 180
36, 190
37, 190
38, 200
39, 200
40, 210
41, 210
42, 220
43, 220
44, 230
45, 230
276, 223
278, 219
279, 219
280, 215
281, 215
282, 211
283, 211
284, 207
285, 207
286, 203
287, 203
288, 199
289, 199
290, 195
291, 195
292, 191
293, 191
294, 187
295, 187
296, 183
297, 183
298, 179
299, 179
300, 175
301, 175
302, 171
303, 171
304, 167
305, 167
306, 163
307, 163
308, 159
309, 159
310, 155
311, 155
312, 151
313, 151
314, 147
315, 147
316, 143
317, 143
318, 140
319, 139
320, 135
321, 134
322, 130
323, 130
324, 123
325, 127
326, 125
327, 126
328, 122
329, 123
330, 119
331, 120
332, 116
333, 117
334, 113
335, 114
336, 110
337, 111
338, 107
339, 108
340, 104
341, 105
342, 101
343, 102
344, 98
345, 99
346, 95
347, 96
348, 92
349, 93
350, 89
351, 90
352, 86
353, 87
354, 83
355, 84
356, 80
357, 81
358, 79
359, 79
360, 79
361, 79
362, 79
363, 79
364, 79
365, 79
366, 79
367, 79
368, 0
369, 61
370, 57
371, 58
372, 54
373, 55
374, 51
375, 79
376, 79
377, 0
378, 45
379, 79
380, 63
381, 0
382, 39
383, 40
384, 37
385, 38
386, 73
387, 0
388, 65
389, 0
390, 63
391, 0
392, 63
393, 0
394, 63
395, 0
396, 63
397, 0
398, 63
399, 0
400, 63
401, 0
402, 63
403, 0
404, 63
405, 0
406, 63
407, 0
408, 63
409, 0
410, 63
411, 0
412, 63
413, 0
414, 63
415, 0
416, 63
417, 0
418, 63
419, 0
420, 63
421, 0
422, 63
423, 0
424, 63
425, 0
426, 63
427, 0
428, 63
429, 0
430, 63
431, 0
432, 63
433, 0
434, 63
435, 0
436, 63
437, 0
438, 63
439, 0
440, 63
441, 0
442, 63
443, 0
444, 63
445, 0
446, 63
447, 0
448, 63
449, 0
450, 64
451, 0
452, 62
453, 0
454, 60
455, 0
456, 58
457, 0
458, 56
459, 0
460, 54
461, 0
462, 52
463, 0
464, 50
465, 0
466, 48
467, 0
468, 46
469, 0
470, 44
471, 0
472, 42
473, 0
474, 40
475, 0
476, 38
477, 0
478, 36
479, 0
480, 34
481, 0
482, 32
483, 0
484, 30
485, 0
486, 28
487, 0
488, 26
489, 0
490, 24
491, 0
492, 22
493, 0
494, 20
495, 0
496, 18
497, 0
498, 16
499, 0
500, 14
501, 0
502, 12
503, 0
504, 10
505, 0
506, 8
507, 0
508, 6
509, 0
510, 4
511, 0
512, 1
